Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[5_SAQ] Your participation in this study is completely voluntary and all your responses are treated anonymously. None of the responses will be connected to identifying information and wouldn't be shared with third parties. Data will only be used for statistical analyses. However you can withdraw from the study at any time! By simply stopping answering the daily questions without the need to give any reasons.If you would like to have further information about the research now or in the future feel free to contact Dimitar Seykov or Arya Arjomand at:d.seykov@student.utwente.nl a.arjomand@student.utwente.nl.If you have any complaints about this research please direct them to the secretary of the Ethics Committee of the Faculty of Behavioural Sciences at the University of Twente Drs. L. Kamphuis-Blikman P.O. Box 217 7500 AE Enschede (NL) telephone: +31 (0)53 489 3399; email: l.j.m.blikman@utwente.nl).,[2_SAQ] What is your gender?,[3_SAQ] What is your nationality?,[10_FFT] Please specify your nationality:,[4_NUM] What is your age?
User #25750,5a0a109eb4e74dc2,2020-04-12 10:52:46 CEST,2020-04-12 10:54:15 CEST,2020-04-12 11:11:59 CEST,1153.099,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 2) Dutch,,20
User #25839,25323b1aa893d6dc,2020-04-10 11:48:57 CEST,2020-04-10 11:48:57 CEST,2020-04-10 22:08:31 CEST,37174.637,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 3) Other,Irish,21
User #25839,25323b1aa893d6dc,2020-04-11 09:00:06 CEST,2020-04-11 11:00:06 CEST,2020-04-11 12:54:10 CEST,14044.339,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 3) Other,IrishIrishIrish,21
User #25839,25323b1aa893d6dc,2020-04-20 15:33:34 CEST,2020-04-20 15:33:42 CEST,2020-04-20 15:37:40 CEST,245.771,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 3) Other,IrishIrish,21
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 10:15:45 CEST,2020-04-10 10:15:45 CEST,2020-04-10 10:36:01 CEST,1215.699,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 1) German,,21
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 11:14:22 CEST,2020-04-10 11:14:22 CEST,2020-04-10 12:25:03 CEST,4240.661,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 1) German,,21
User #26017,f57cebd654b37521,2020-04-11 09:03:19 EEST,2020-04-11 10:49:33 EEST,2020-04-11 10:54:27 EEST,6667.233,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 3) Other,BulgarianBulgarianBulgarianBulgarian,23
User #26025,4b0d6fdb7a5fc551,2020-04-12 09:53:25 CEST,2020-04-12 09:53:25 CEST,2020-04-12 10:00:20 CEST,415.663,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 3) Other,IndianIndian,19
User #26026,420e14ae1f0c87e6,2020-04-12 11:02:42 CEST,2020-04-12 11:02:43 CEST,2020-04-12 11:17:05 CEST,862.731,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 2) Dutch,,30
User #26027,c82ff1e880330b9c,2020-04-15 10:26:58 CEST,2020-04-15 10:27:06 CEST,2020-04-15 10:27:43 CEST,45.26,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 2) Dutch,,20
