Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[2_SAQ] I am so caught up in my thoughts that I don't know what to do,[3_SAQ] My thoughts are causing me distress or emotional pain,[4_SAQ] I am over-analysing the situation to the point where it's unhelpful to me,[5_SAQ] I am struggling with my thoughts,[6_SAQ] I am upset with myself for having certain thoughts,[7_SAQ] I am very entangled in my thoughts,[8_SAQ] It's such a struggle to let go of upsetting thoughts even though I know that letting go would be helpful
User #25750,5a0a109eb4e74dc2,2020-04-12 10:49:08 CEST,2020-04-12 10:54:15 CEST,2020-04-12 11:22:27 CEST,1999.095,Unknown,(ID 2) Very untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 5) Somewhat true,(ID 4) Neither true nor untrue,(ID 5) Somewhat true
User #25839,25323b1aa893d6dc,2020-04-11 10:55:19 CEST,2020-04-11 11:55:20 CEST,2020-04-11 12:51:27 CEST,6968.063,Unknown,(ID 6) Very true,(ID 6) Very true,(ID 7) Completely true,(ID 6) Very true,(ID 6) Very true,(ID 6) Very true,(ID 6) Very true
User #25839,25323b1aa893d6dc,2020-04-20 15:33:34 CEST,2020-04-20 15:33:42 CEST,2020-04-20 15:39:30 CEST,355.784,Unknown,(ID 4) Neither true nor untrue,(ID 5) Somewhat true,(ID 7) Completely true,(ID 5) Somewhat true,(ID 4) Neither true nor untrue,(ID 5) Somewhat true,(ID 5) Somewhat true
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 11:16:21 CEST,2020-04-10 11:22:02 CEST,2020-04-10 11:23:27 CEST,425.887,Unknown,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 6) Very true,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 6) Very true
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 11:23:32 CEST,2020-04-10 11:23:32 CEST,2020-04-10 11:23:32 CEST,Blocked,Unknown,,,,,,,
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 10:24:15 CEST,2020-04-10 10:24:15 CEST,2020-04-10 12:26:48 CEST,7352.873,Unknown,(ID 5) Somewhat true,(ID 6) Very true,(ID 6) Very true,(ID 6) Very true,(ID 5) Somewhat true,(ID 6) Very true,(ID 6) Very true
User #26017,f57cebd654b37521,2020-04-11 10:28:05 EEST,2020-04-11 10:49:34 EEST,2020-04-11 11:04:00 EEST,2154.72,Unknown,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 2) Very untrue,(ID 4) Neither true nor untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue
User #26025,4b0d6fdb7a5fc551,2020-04-12 11:12:21 CEST,2020-04-12 11:12:21 CEST,2020-04-12 11:40:07 CEST,1666.403,Unknown,(ID 5) Somewhat true,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 2) Very untrue,(ID 2) Very untrue,(ID 5) Somewhat true,(ID 3) Somewhat untrue
User #26026,420e14ae1f0c87e6,2020-04-12 10:07:04 CEST,2020-04-12 10:07:04 CEST,2020-04-12 10:17:29 CEST,625.175,Unknown,(ID 2) Very untrue,(ID 2) Very untrue,(ID 2) Very untrue,(ID 2) Very untrue,(ID 2) Very untrue,(ID 2) Very untrue,(ID 5) Somewhat true
User #26027,c82ff1e880330b9c,2020-04-15 10:26:58 CEST,2020-04-15 10:27:06 CEST,2020-04-15 10:29:05 CEST,127.705,Unknown,(ID 6) Very true,(ID 5) Somewhat true,(ID 6) Very true,(ID 6) Very true,(ID 4) Neither true nor untrue,(ID 6) Very true,(ID 6) Very true
User #26028,868db7f350c3c98b,2020-04-12 10:08:58 CEST,2020-04-12 10:08:58 CEST,2020-04-12 15:23:29 CEST,18871.407,Unknown,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 5) Somewhat true,(ID 2) Very untrue,(ID 4) Neither true nor untrue
User #26028,868db7f350c3c98b,2020-04-12 20:47:29 CEST,2020-04-12 20:47:29 CEST,2020-04-12 20:47:29 CEST,Blocked,Unknown,,,,,,,
User #26028,868db7f350c3c98b,2020-04-12 16:42:27 CEST,2020-04-13 13:47:30 CEST,2020-04-13 13:50:47 CEST,76100.472,Unknown,(ID 2) Very untrue,(ID 3) Somewhat untrue,(ID 5) Somewhat true,(ID 2) Very untrue,(ID 2) Very untrue,(ID 6) Very true,(ID 2) Very untrue
User #26030,EAC7B695CB404BF49CA5C8AD9D59E978,2020-04-12 10:59:52 CEST,2020-04-12 10:59:52 CEST,2020-04-12 11:37:20 CEST,2247.984,Unknown,(ID 3) Somewhat untrue,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 6) Very true
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 20:23:56 CEST,2020-04-12 20:23:56 CEST,2020-04-12 20:25:04 CEST,67.76,Unknown,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 6) Very true,(ID 5) Somewhat true,(ID 6) Very true,(ID 6) Very true,(ID 5) Somewhat true
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 21:09:09 CEST,2020-04-12 21:09:09 CEST,2020-04-12 21:09:09 CEST,Blocked,Unknown,,,,,,,
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 16:31:55 CEST,2020-04-12 16:31:55 CEST,2020-04-13 14:31:12 CEST,79156.413,Unknown,(ID 5) Somewhat true,(ID 3) Somewhat untrue,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 6) Very true,(ID 4) Neither true nor untrue
User #26036,df7ea51c171b8fb9,2020-04-12 20:21:52 CEST,2020-04-12 20:21:52 CEST,2020-04-12 20:21:52 CEST,Blocked,Unknown,,,,,,,
User #26036,df7ea51c171b8fb9,2020-04-12 19:13:30 CEST,2020-04-12 19:13:30 CEST,2020-04-12 20:38:34 CEST,5103.425,Unknown,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 1) Completely untrue,(ID 2) Very untrue,(ID 3) Somewhat untrue
User #26036,df7ea51c171b8fb9,2020-04-12 18:18:57 CEST,2020-04-12 18:18:57 CEST,2020-04-13 01:18:57 CEST,Expired,Unknown,,,,,,,
User #26036,None,2020-04-12 18:18:57 CEST,,,Expired,Unknown,,,,,,,
User #26041,1d9fafc91b356144,2020-04-12 20:56:09 CEST,2020-04-12 20:56:09 CEST,2020-04-12 20:56:09 CEST,Blocked,Unknown,,,,,,,
User #26041,1d9fafc91b356144,2020-04-12 20:57:26 CEST,2020-04-12 20:57:26 CEST,2020-04-12 22:39:40 CEST,Canceled,Unknown,(ID 3) Somewhat untrue,,,,,,
