Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[5_SAQ] Currently I don't feel entangled in my thoughts.,[7_SAQ] At the moment I feel determined to stick to my current task until it's complete.,[8_SAQ] Any feelings of inadequacy I experience right now are shared by most people.,[13_SAQ] Right now I don't feel confident in my ability to effectively accomplish my current task.,[9_SAQ] Right now I am giving myself the caring and tenderness I need towards my negative feelings.,[10_SAQ] Right now I believe I can succeed in my current task if I set my mind to it.,[11_SAQ] I am currently struggling with my thoughts.,[14_SAQ] At the moment I don't feel committed to my current task as much as I think I should.
User #25750,5a0a109eb4e74dc2,2020-04-12 09:46:59 CEST,2020-04-12 09:46:59 CEST,2020-04-12 10:46:59 CEST,Expired,Unknown,,,,,,,,
User #25750,5a0a109eb4e74dc2,2020-04-12 14:36:58 CEST,2020-04-12 15:35:42 CEST,2020-04-12 16:06:58 CEST,Expired,Unknown,,,,,,,,
User #25750,5a0a109eb4e74dc2,2020-04-12 21:10:44 CEST,2020-04-12 21:25:45 CEST,2020-04-12 21:42:03 CEST,1878.133,Unknown,(ID 3) Neither,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 1) Strongly Disagree,(ID 4) Agree
User #25750,5a0a109eb4e74dc2,2020-04-13 09:33:38 CEST,2020-04-13 09:33:38 CEST,2020-04-13 09:49:04 CEST,925.599,Unknown,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 5) Strongly Agree,(ID 1) Strongly Disagree,(ID 3) Neither
User #25750,5a0a109eb4e74dc2,2020-04-13 14:48:34 CEST,2020-04-13 15:18:35 CEST,2020-04-13 15:22:21 CEST,2026.817,Unknown,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 1) Strongly Disagree,(ID 2) Disagree
User #25750,5a0a109eb4e74dc2,2020-04-13 20:46:25 CEST,2020-04-13 20:46:25 CEST,2020-04-13 20:57:29 CEST,664.359,Unknown,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 2) Disagree
User #25750,5a0a109eb4e74dc2,2020-04-14 11:03:23 CEST,2020-04-14 11:06:39 CEST,2020-04-14 11:03:23 CEST,Blocked,Unknown,,,,,,,,
User #25750,5a0a109eb4e74dc2,2020-04-14 10:03:54 CEST,2020-04-14 10:03:54 CEST,2020-04-14 11:07:31 CEST,3816.769,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 1) Strongly Disagree
User #25750,5a0a109eb4e74dc2,2020-04-14 14:19:49 CEST,2020-04-14 15:04:49 CEST,2020-04-14 15:23:46 CEST,3837.23,Unknown,(ID 3) Neither,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 2) Disagree,(ID 1) Strongly Disagree
User #25750,5a0a109eb4e74dc2,2020-04-14 21:17:43 CEST,2020-04-14 21:17:43 CEST,2020-04-14 21:51:53 CEST,2050.194,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 2) Disagree
User #25750,5a0a109eb4e74dc2,2020-04-15 09:20:27 CEST,2020-04-15 09:20:27 CEST,2020-04-15 10:50:27 CEST,Expired,Unknown,,,,,,,,
User #25750,5a0a109eb4e74dc2,2020-04-15 14:04:09 CEST,2020-04-15 14:04:09 CEST,2020-04-15 15:34:09 CEST,Expired,Unknown,,,,,,,,
User #25750,5a0a109eb4e74dc2,2020-04-15 20:55:18 CEST,2020-04-15 20:55:18 CEST,2020-04-15 20:57:15 CEST,116.986,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 1) Strongly Disagree,(ID 3) Neither
User #25750,5a0a109eb4e74dc2,2020-04-16 09:35:00 CEST,2020-04-16 09:50:01 CEST,2020-04-16 09:59:30 CEST,1469.232,Unknown,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 1) Strongly Disagree,(ID 4) Agree
