Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[8_SAQ] When I fail at something important to me I become consumed by feelings of inadequacy.,[29_SAQ]  I try to be understanding and patient towards those aspects of my personality I don't like.,[6_SAQ]  When something painful happens I try to take a balanced view of the situation. ,[3_SAQ]  When I’m feeling down I tend to feel like most other people are probably happier than I am.,[10_SAQ]  I try to see my failings as part of the human condition.,[11_SAQ] When I’m going through a very hard time I give myself the caring and tenderness I need. ,[12_SAQ] When something upsets me I try to keep my emotions in balance. ,[13_SAQ] When I fail at something that’s important to me I tend to feel alone in my failure.,[14_SAQ] When I’m feeling down I tend to obsess and fixate on everything that’s wrong. ,[15_SAQ] When I feel inadequate in some way I try to remind myself that feelings of inadequacy are shared by most people. ,[16_SAQ]  I’m disapproving and judgmental about my own flaws and inadequacies. ,[17_SAQ] I’m intolerant and impatient towards those aspects of my personality I don’t like.
User #25750,5a0a109eb4e74dc2,2020-04-12 10:05:41 CEST,2020-04-12 11:05:41 CEST,2020-04-12 11:27:48 CEST,4927.165,Unknown,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 2) Occasionally
User #25839,25323b1aa893d6dc,2020-04-11 11:26:00 CEST,2020-04-11 12:26:00 CEST,2020-04-11 12:50:46 CEST,5085.615,Unknown,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 5) Almost Always,(ID 5) Almost Always,(ID 1) Almost Never,(ID 3) About Half of The Time,(ID 5) Almost Always,(ID 5) Almost Always,(ID 5) Almost Always,(ID 1) Almost Never,(ID 5) Almost Always,(ID 4) Fairly Often
User #25839,25323b1aa893d6dc,2020-04-20 15:33:34 CEST,2020-04-20 15:33:43 CEST,2020-04-20 15:49:32 CEST,957.853,Unknown,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 1) Almost Never,(ID 2) Occasionally,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 3) About Half of The Time
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 11:16:50 CEST,2020-04-10 11:22:02 CEST,2020-04-10 11:22:02 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 10:39:09 CEST,2020-04-10 10:39:09 CEST,2020-04-10 12:02:28 CEST,Canceled,Unknown,(ID 3) About Half of the Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 2) Occasionally
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 18:32:45 CEST,2020-04-10 18:32:45 CEST,2020-04-11 09:28:38 CEST,53752.998,Unknown,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 2) Occasionally,(ID 3) About Half of The Time
User #26017,f57cebd654b37521,2020-04-11 10:49:28 EEST,2020-04-11 10:49:34 EEST,2020-04-11 10:59:48 EEST,620.627,Unknown,(ID 3) About Half of the Time,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 1) Almost Never,(ID 2) Occasionally,(ID 4) Fairly Often
User #26025,4b0d6fdb7a5fc551,2020-04-12 09:13:59 CEST,2020-04-12 09:14:00 CEST,2020-04-12 09:59:37 CEST,2737.671,Unknown,(ID 2) Occasionally,(ID 1) Almost Never,(ID 5) Almost Always,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 1) Almost Never,(ID 2) Occasionally,(ID 4) Fairly Often
User #26026,420e14ae1f0c87e6,2020-04-12 09:03:08 CEST,2020-04-12 09:03:09 CEST,2020-04-12 09:36:40 CEST,2012.507,Unknown,(ID 3) About Half of the Time,(ID 2) Occasionally,(ID 2) Occasionally,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 3) About Half of The Time
User #26027,c82ff1e880330b9c,2020-04-15 10:26:58 CEST,2020-04-15 10:27:07 CEST,2020-04-15 10:31:40 CEST,282.551,Unknown,(ID 5) Almost Always,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 1) Almost Never,(ID 3) About Half of The Time,(ID 5) Almost Always,(ID 5) Almost Always,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 2) Occasionally
