Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[4_SAQ] 1. I don't always work as hard as I can.,[5_SAQ] 2. I always finish what I start﻿.,[6_SAQ] 3. I am not always motivated to do my best,[7_SAQ] 4. I always stick to the task I am working on until it is complete.,[8_SAQ] 5. I always keep working for what I want even when I don't do as well as I would like to.,[9_SAQ] 6. Sometimes I am not as focused on my work as I would like to be,[10_SAQ] 7. Challenges in my life sometimes make me want to stop trying.,[11_SAQ] 8. No matter what happens to me I will be okay.,[12_SAQ] 9. I always pay attention to what I am working on to make sure I do it well.,[13_SAQ] 10. Sometimes I don't care about my work as much as I should.,[14_SAQ] 11. I never give up even when things get tough.,[15_SAQ] 12. I am able to get through tough times without any difficulty.
User #25750,5a0a109eb4e74dc2,2020-04-12 10:51:02 CEST,2020-04-12 10:54:15 CEST,2020-04-12 11:20:43 CEST,1781.285,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree
User #25839,25323b1aa893d6dc,2020-04-11 09:22:42 CEST,2020-04-11 11:22:42 CEST,2020-04-11 12:53:25 CEST,12643.298,Unknown,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 1) Strongly Disagree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree
User #25839,25323b1aa893d6dc,2020-04-20 15:33:34 CEST,2020-04-20 19:33:34 CEST,2020-04-20 22:33:34 CEST,Expired,Unknown,,,,,,,,,,,,
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 11:19:27 CEST,2020-04-10 11:19:27 CEST,2020-04-10 11:25:45 CEST,378.443,Unknown,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 11:16:35 CEST,2020-04-10 11:16:35 CEST,2020-04-10 12:26:17 CEST,4181.472,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-11 09:35:28 EEST,2020-04-11 10:49:34 EEST,2020-04-11 11:24:05 EEST,6517.367,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 4) Agree
User #26025,4b0d6fdb7a5fc551,2020-04-12 10:24:21 CEST,2020-04-12 10:24:21 CEST,2020-04-12 10:53:04 CEST,1723.056,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree
User #26026,420e14ae1f0c87e6,2020-04-12 11:15:59 CEST,2020-04-12 11:15:59 CEST,2020-04-12 11:19:04 CEST,184.478,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 4) Agree
User #26027,c82ff1e880330b9c,2020-04-15 10:26:58 CEST,2020-04-15 10:27:07 CEST,2020-04-15 10:50:47 CEST,1429.037,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 2) Disagree
User #26028,868db7f350c3c98b,2020-04-12 20:07:39 CEST,2020-04-12 20:07:39 CEST,2020-04-12 20:07:39 CEST,Blocked,Unknown,,,,,,,,,,,,
