Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[4_SAQ] 1. I will be able to achieve most of the goals that I have set for myself. ,[5_SAQ] 2. When facing difficult tasks I am certain that I will accomplish them. ,[6_SAQ] 3. In general I think that I can obtain outcomes that are important to me. ,[7_SAQ] 4. I believe I can succeed at most any endeavor to which I set my mind. ,[8_SAQ] 5. I will be able to successfully overcome many challenges. ,[9_SAQ] 6. I am confident that I can perform effectively on many different tasks. ,[10_SAQ] 7. Compared to other people I can do most tasks very well. ,[11_SAQ] 8. Even when things are tough I can perform quite well. 
User #25750,5a0a109eb4e74dc2,2020-04-12 09:29:31 CEST,2020-04-12 09:29:31 CEST,2020-04-12 10:57:21 CEST,Canceled,Unknown,,,,,,,,
User #25750,5a0a109eb4e74dc2,2020-04-12 11:45:10 CEST,2020-04-12 11:45:10 CEST,2020-04-12 17:50:18 CEST,21907.758,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 3) Neither
User #25839,25323b1aa893d6dc,2020-04-11 10:12:21 CEST,2020-04-11 12:12:21 CEST,2020-04-11 12:52:29 CEST,9607.441,Unknown,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-20 15:33:34 CEST,2020-04-20 19:33:34 CEST,2020-04-20 22:33:34 CEST,Expired,Unknown,,,,,,,,
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 09:58:14 CEST,2020-04-10 09:58:14 CEST,2020-04-10 10:36:53 CEST,2318.885,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26017,f57cebd654b37521,2020-04-11 09:54:12 EEST,2020-04-11 10:54:12 EEST,2020-04-11 11:24:56 EEST,5444.505,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26025,4b0d6fdb7a5fc551,2020-04-12 11:11:25 CEST,2020-04-12 11:11:25 CEST,2020-04-12 11:40:48 CEST,1763.044,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree
User #26026,420e14ae1f0c87e6,2020-04-12 10:53:48 CEST,2020-04-12 10:53:49 CEST,2020-04-12 11:23:53 CEST,1805.27,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree
User #26027,c82ff1e880330b9c,2020-04-15 10:26:58 CEST,2020-04-15 10:27:07 CEST,2020-04-15 10:51:48 CEST,1490.407,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 2) Disagree
User #26028,868db7f350c3c98b,2020-04-12 19:28:39 CEST,2020-04-12 19:28:42 CEST,2020-04-12 19:37:38 CEST,539.032,Unknown,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree
User #26028,868db7f350c3c98b,2020-04-12 20:02:18 CEST,2020-04-12 20:02:18 CEST,2020-04-12 20:02:18 CEST,Blocked,Unknown,,,,,,,,
User #26028,868db7f350c3c98b,2020-04-12 16:10:00 CEST,2020-04-12 16:10:00 CEST,2020-04-13 14:05:38 CEST,78937.669,Unknown,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 2) Disagree
User #26030,EAC7B695CB404BF49CA5C8AD9D59E978,2020-04-12 10:53:29 CEST,2020-04-12 10:53:29 CEST,2020-04-12 11:38:33 CEST,2704.819,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 20:17:01 CEST,2020-04-12 20:17:01 CEST,2020-04-12 20:22:12 CEST,310.729,Unknown,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 20:52:10 CEST,2020-04-12 20:52:10 CEST,2020-04-12 20:52:10 CEST,Blocked,Unknown,,,,,,,,
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 18:49:35 CEST,2020-04-12 18:49:35 CEST,2020-04-13 14:33:17 CEST,71021.795,Unknown,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree
User #26036,df7ea51c171b8fb9,2020-04-12 19:29:59 CEST,2020-04-12 19:30:00 CEST,2020-04-12 20:34:12 CEST,3852.666,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree
User #26036,df7ea51c171b8fb9,2020-04-12 21:01:54 CEST,2020-04-12 21:01:54 CEST,2020-04-12 21:01:54 CEST,Blocked,Unknown,,,,,,,,
User #26036,None,2020-04-12 16:30:29 CEST,,,Expired,Unknown,,,,,,,,
User #26041,1d9fafc91b356144,2020-04-12 21:16:14 CEST,2020-04-12 21:16:14 CEST,2020-04-12 21:16:14 CEST,Blocked,Unknown,,,,,,,,
User #26041,1d9fafc91b356144,2020-04-12 19:18:16 CEST,2020-04-12 19:18:16 CEST,2020-04-12 22:45:38 CEST,12442.19,Unknown,(ID 4) Agree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither
User #26041,1d9fafc91b356144,2020-04-12 18:04:08 CEST,2020-04-13 14:24:10 CEST,2020-04-13 14:26:10 CEST,73321.821,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 20:39:26 CEST,2020-04-12 20:39:26 CEST,2020-04-12 20:39:26 CEST,Blocked,Unknown,,,,,,,,
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 20:57:28 CEST,2020-04-12 20:57:28 CEST,2020-04-12 20:58:30 CEST,62.003,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 18:28:16 CEST,2020-04-12 18:28:16 CEST,2020-04-13 15:34:53 CEST,75996.903,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither
User #26048,671AE8F122594E649D67DF7BB2149F81,2020-04-22 12:37:03 CEST,2020-04-22 12:37:03 CEST,2020-04-22 15:10:03 CEST,9179.975,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree
User #26050,1caf64465670cea1,2020-04-12 19:42:22 CEST,2020-04-12 19:42:23 CEST,2020-04-12 19:55:59 CEST,817.048,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 2) Disagree
User #26050,1caf64465670cea1,2020-04-12 21:21:48 CEST,2020-04-13 14:03:33 CEST,2020-04-13 14:12:03 CEST,60615.579,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
