Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location
User #25750,5a0a109eb4e74dc2,2020-04-12 18:59:23 CEST,2020-04-12 18:59:23 CEST,2020-04-12 19:01:02 CEST,99.113,Unknown
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-12 14:30:39 CEST,2020-04-12 14:30:39 CEST,2020-04-12 14:31:00 CEST,20.754,Unknown
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-12 14:31:04 CEST,2020-04-12 14:31:04 CEST,2020-04-12 14:31:09 CEST,4.484,Unknown
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-12 14:31:11 CEST,2020-04-12 14:31:11 CEST,2020-04-12 14:31:16 CEST,4.766,Unknown
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-12 15:05:46 CEST,2020-04-12 15:05:46 CEST,2020-04-12 15:05:49 CEST,2.968,Unknown
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-12 15:09:19 CEST,2020-04-12 15:09:19 CEST,2020-04-12 15:10:01 CEST,41.719,Unknown
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-12 15:45:26 CEST,2020-04-12 15:45:26 CEST,2020-04-12 15:45:29 CEST,2.67,Unknown
User #26025,4b0d6fdb7a5fc551,2020-04-12 14:21:03 CEST,2020-04-12 14:21:03 CEST,2020-04-12 14:21:33 CEST,29.88,Unknown
User #26025,4b0d6fdb7a5fc551,2020-04-12 14:21:35 CEST,2020-04-12 14:21:35 CEST,2020-04-12 14:21:38 CEST,2.862,Unknown
User #26025,4b0d6fdb7a5fc551,2020-04-12 15:18:59 CEST,2020-04-12 15:18:59 CEST,2020-04-12 15:19:03 CEST,4.399,Unknown
User #26026,420e14ae1f0c87e6,2020-04-12 14:10:22 CEST,2020-04-12 14:10:22 CEST,2020-04-12 14:10:44 CEST,22.543,Unknown
User #26028,868db7f350c3c98b,2020-04-12 15:23:33 CEST,2020-04-12 15:23:33 CEST,2020-04-12 15:23:37 CEST,4.035,Unknown
User #26030,EAC7B695CB404BF49CA5C8AD9D59E978,2020-04-12 15:17:13 CEST,2020-04-12 15:17:13 CEST,2020-04-12 15:17:23 CEST,10.14,Unknown
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 14:26:17 CEST,2020-04-12 14:26:17 CEST,2020-04-12 14:27:05 CEST,47.504,Unknown
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 15:20:25 CEST,2020-04-12 15:20:25 CEST,2020-04-12 15:20:30 CEST,5.465,Unknown
User #26041,1d9fafc91b356144,2020-04-12 22:49:28 CEST,2020-04-12 22:49:28 CEST,2020-04-12 22:49:52 CEST,23.725,Unknown
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 14:03:26 CEST,2020-04-12 14:03:26 CEST,2020-04-12 14:04:07 CEST,41.755,Unknown
User #26053,ae7272bee31b9989,2020-04-12 20:24:40 CEST,2020-04-12 20:24:40 CEST,2020-04-12 20:24:51 CEST,10.956,Unknown
User #26058,766bee10db0580dd,2020-04-13 12:06:08 JST,2020-04-13 12:06:08 JST,2020-04-13 12:06:09 JST,1.73,Unknown
User #26125,1161DFFFABE64AE7B5B749DD82BCDE63,2020-04-15 22:59:52 CEST,2020-04-15 22:59:52 CEST,2020-04-15 23:00:03 CEST,11.105,Unknown
User #26125,1161DFFFABE64AE7B5B749DD82BCDE63,2020-04-19 18:19:13 CEST,2020-04-19 18:19:13 CEST,2020-04-19 18:19:19 CEST,6.743,Unknown
User #26291,8ce703868fa29cb0,2020-04-19 22:07:28 CEST,2020-04-19 22:07:28 CEST,2020-04-19 22:07:53 CEST,25.345,Unknown
User #26291,8ce703868fa29cb0,2020-04-24 10:17:45 CEST,2020-04-24 10:17:45 CEST,2020-04-24 10:18:23 CEST,37.275,Unknown
User #26291,8ce703868fa29cb0,2020-04-27 16:45:04 CEST,2020-04-27 16:45:04 CEST,2020-04-27 16:45:12 CEST,8.932,Unknown
User #26319,9bc1c52a9f269e44,2020-04-21 15:11:22 EEST,2020-04-21 15:11:22 EEST,2020-04-21 15:11:26 EEST,3.531,Unknown
User #26393,FB522C1556BF4DB197D1C1B5BFF84126,2020-04-25 13:27:08 CEST,2020-04-25 13:27:08 CEST,2020-04-25 13:27:54 CEST,45.576,Unknown
